wiek,dochod_miesieczny,zadluzenie,historia_kredytowa,stabilnosc_zatrudnienia,kwota_kredytu,okres_kredytu_mies,liczba_zaleglosci,rata_do_dochodu,decyzja
31.0,3827.94,0.556,0.969,0.244,36006.81,29.0,2.0,0.334,0
70.0,4459.09,0.99,0.884,0.633,13204.98,46.0,0.0,0.066,0
67.0,7226.49,0.325,0.277,0.845,47586.5,60.0,0.0,0.112,0
27.0,13420.78,0.621,0.886,0.624,53371.93,20.0,2.0,0.205,1
26.0,3749.92,0.465,0.281,0.933,28214.32,63.0,0.0,0.127,0
46.0,7270.82,0.472,0.312,0.254,9465.7,80.0,3.0,0.017,0
20.0,14752.12,0.618,0.812,0.28,23203.22,72.0,0.0,0.023,1
33.0,3091.05,0.46,0.439,0.623,28367.37,49.0,1.0,0.197,0
41.0,3652.17,0.36,0.435,0.746,11880.35,31.0,4.0,0.109,0
69.0,5371.89,0.472,0.798,0.841,19782.27,31.0,0.0,0.125,0
70.0,5142.49,1.067,0.223,0.876,10002.01,64.0,1.0,0.032,0
26.0,9369.62,0.472,0.867,0.622,37099.96,41.0,0.0,0.101,1
65.0,7246.72,0.806,0.826,0.764,27847.6,14.0,1.0,0.287,0
22.0,2924.34,0.541,0.952,0.177,8577.28,59.0,3.0,0.052,0
57.0,8196.74,0.524,0.857,0.285,31416.34,16.0,1.0,0.251,0
62.0,5012.37,0.337,0.775,0.177,24098.39,83.0,3.0,0.061,0
65.0,11534.05,0.294,0.668,0.538,34971.91,38.0,1.0,0.082,1
29.0,4900.75,0.431,0.392,0.554,19382.68,33.0,1.0,0.126,0
65.0,4880.88,0.289,0.567,0.241,14848.73,10.0,0.0,0.32,0
24.0,8292.17,0.323,0.936,0.626,15147.37,19.0,1.0,0.099,1
45.0,9162.5,0.708,0.779,0.418,17620.54,80.0,2.0,0.025,0
42.0,7952.19,0.238,0.882,0.499,25307.79,48.0,1.0,0.068,1
34.0,3044.34,0.824,0.724,0.624,27523.74,77.0,0.0,0.121,0
19.0,8280.62,0.284,0.577,0.52,22085.2,81.0,0.0,0.035,1
58.0,4081.09,0.167,0.63,0.503,18986.31,9.0,1.0,0.532,0
35.0,7225.93,0.149,0.59,0.167,19894.91,36.0,3.0,0.079,0
53.0,3425.07,0.162,0.54,0.207,127599.56,72.0,0.0,0.535,0
39.0,7945.83,0.189,0.808,0.142,15148.54,45.0,0.0,0.045,1
37.0,4521.45,0.617,0.104,0.297,17395.2,46.0,0.0,0.087,0
64.0,3649.6,1.077,0.73,0.76,150000.0,51.0,0.0,0.845,0
23.0,8962.25,0.425,0.655,0.376,32869.15,61.0,4.0,0.063,0
57.0,7246.67,0.951,0.915,0.43,10194.91,80.0,0.0,0.018,1
57.0,4930.86,0.456,0.584,0.588,43233.8,76.0,0.0,0.122,0
38.0,12488.81,0.756,0.769,0.473,13837.06,55.0,0.0,0.021,1
31.0,5330.84,0.217,0.651,0.356,45139.87,51.0,0.0,0.172,1
18.0,6594.6,0.608,0.68,0.563,21796.52,34.0,4.0,0.103,0
67.0,7336.14,0.458,0.666,0.556,18784.06,15.0,0.0,0.178,0
68.0,4918.25,0.383,0.419,0.676,71153.04,62.0,0.0,0.238,0
30.0,8035.05,0.345,0.283,0.377,36126.86,6.0,0.0,0.771,0
19.0,5112.81,0.447,0.677,0.527,47055.09,61.0,4.0,0.158,0
24.0,5400.9,0.291,0.547,0.418,33167.6,45.0,4.0,0.14,0
21.0,12001.02,0.582,0.587,0.304,18727.38,68.0,0.0,0.024,1
62.0,4069.57,0.647,0.609,0.112,37198.04,80.0,1.0,0.118,0
65.0,2194.71,0.179,0.844,0.266,54864.46,49.0,0.0,0.532,0
26.0,13419.7,0.386,0.81,0.672,27288.23,51.0,1.0,0.041,1
57.0,20000.0,0.253,0.253,0.215,80635.86,44.0,0.0,0.097,1
27.0,5416.4,0.683,0.384,0.572,43453.55,35.0,2.0,0.237,0
37.0,2718.89,0.618,0.698,0.441,28693.32,13.0,3.0,0.831,0
49.0,5652.42,0.762,0.615,0.789,29439.64,8.0,0.0,0.675,0
56.0,5714.47,1.063,0.198,0.369,27332.6,63.0,0.0,0.079,0
64.0,5967.55,0.665,0.696,0.352,11084.75,78.0,0.0,0.025,1
20.0,3938.41,0.644,0.695,0.255,23578.35,10.0,0.0,0.623,0
28.0,8436.81,0.701,0.81,0.542,28865.5,31.0,0.0,0.113,1
32.0,8230.37,0.332,0.787,0.565,19075.8,54.0,0.0,0.045,1
34.0,3317.86,0.817,0.72,0.45,31136.04,61.0,5.0,0.16,0
70.0,8903.47,0.723,0.118,0.555,25348.66,64.0,0.0,0.045,0
59.0,16370.98,0.475,0.878,0.641,41337.73,60.0,2.0,0.044,1
34.0,7022.96,0.512,0.24,0.436,38470.78,12.0,0.0,0.478,0
69.0,5584.56,0.568,0.389,0.497,27869.29,26.0,0.0,0.201,0
44.0,6097.63,0.73,0.753,0.624,10279.87,43.0,0.0,0.041,0
44.0,8573.43,0.917,0.748,0.567,80065.54,11.0,3.0,0.88,0
40.0,2983.21,1.024,0.243,0.931,22797.4,33.0,0.0,0.241,0
25.0,6999.07,0.235,0.67,0.824,23719.55,36.0,0.0,0.096,1
67.0,5452.6,0.492,0.805,0.546,20010.1,83.0,1.0,0.046,0
18.0,14929.27,0.338,0.728,0.169,18199.76,31.0,1.0,0.101,1
27.0,6010.0,0.255,0.692,0.607,68204.71,82.0,1.0,0.145,0
30.0,13768.06,0.096,0.345,0.678,61547.22,61.0,0.0,0.076,1
32.0,3955.55,0.08,0.731,0.247,33372.48,60.0,0.0,0.144,1
24.0,8466.09,0.242,0.699,0.655,23312.76,70.0,2.0,0.041,0
18.0,7504.72,0.472,0.929,0.431,37386.23,72.0,1.0,0.071,1
53.0,4396.16,0.238,0.373,0.959,26228.43,23.0,1.0,0.266,0
69.0,6460.21,0.782,0.575,0.338,22092.34,39.0,0.0,0.082,0
24.0,11217.06,0.291,0.642,0.824,31144.72,47.0,0.0,0.062,1
33.0,5618.68,0.172,0.576,0.403,18767.44,83.0,3.0,0.042,0
44.0,3035.63,0.677,0.914,0.518,29454.53,9.0,1.0,1.1,0
67.0,6448.83,0.704,0.659,0.407,28548.93,43.0,0.0,0.105,0
54.0,4330.62,0.724,0.598,0.274,36995.05,22.0,3.0,0.406,0
58.0,5571.97,0.659,0.475,0.292,16717.18,22.0,1.0,0.142,0
48.0,6265.68,0.994,0.876,0.443,39664.81,66.0,0.0,0.101,0
40.0,3016.99,0.23,0.64,0.594,13870.63,21.0,0.0,0.225,0
28.0,3141.67,0.393,0.383,0.737,17230.96,68.0,1.0,0.085,0
63.0,8074.67,0.472,0.718,0.401,17726.75,84.0,0.0,0.028,1
60.0,5137.56,0.716,0.305,0.729,12454.0,67.0,1.0,0.038,0
19.0,2049.65,0.062,0.765,0.855,48378.54,19.0,1.0,1.275,0
55.0,9253.32,0.76,0.663,0.597,13316.34,17.0,0.0,0.089,1
22.0,7347.56,0.435,0.755,0.525,15872.38,40.0,3.0,0.056,0
57.0,4714.1,0.692,0.463,0.622,56536.75,49.0,0.0,0.25,0
61.0,3593.87,0.509,0.654,0.217,17253.19,67.0,0.0,0.074,0
24.0,9467.98,0.704,0.877,0.266,22122.23,39.0,1.0,0.063,1
40.0,7606.55,0.284,0.32,0.415,12949.5,19.0,1.0,0.093,1
24.0,18991.15,0.478,0.448,0.318,42961.06,84.0,0.0,0.028,1
48.0,7852.93,0.608,0.3,0.636,43347.73,77.0,1.0,0.075,0
67.0,7738.97,0.316,0.724,0.501,40414.58,57.0,3.0,0.095,0
22.0,6029.62,0.497,0.753,0.9,35455.21,60.0,2.0,0.1,0
39.0,9387.24,0.625,0.155,0.219,26224.88,79.0,2.0,0.037,0
69.0,8611.43,0.472,0.631,0.499,17779.23,43.0,0.0,0.049,1
33.0,11416.71,0.309,0.332,0.388,14719.1,17.0,0.0,0.079,1
25.0,5140.79,0.651,0.731,0.737,57818.83,53.0,1.0,0.218,0
43.0,5343.44,0.601,0.242,0.886,41099.61,41.0,0.0,0.194,0
44.0,5239.39,0.11,0.516,0.303,15930.38,69.0,1.0,0.046,0
53.0,9278.16,0.432,0.817,0.131,25655.72,66.0,0.0,0.043,1
34.0,12756.88,0.472,0.661,0.422,20569.33,43.0,0.0,0.039,1
68.0,5287.39,0.594,0.439,0.55,12007.59,35.0,0.0,0.069,0
45.0,5369.07,0.107,0.212,0.278,28060.12,39.0,0.0,0.137,0
33.0,7486.77,0.414,0.508,0.414,19083.15,55.0,0.0,0.048,1
68.0,5819.47,0.266,0.633,0.381,13460.06,56.0,1.0,0.043,1
67.0,9976.44,0.226,0.556,0.739,9558.58,46.0,1.0,0.022,1
44.0,2359.62,0.464,0.449,0.183,9046.73,48.0,0.0,0.084,0
19.0,4480.73,0.449,0.459,0.319,19637.65,84.0,0.0,0.054,0
49.0,4570.92,0.149,0.533,0.61,23654.75,26.0,2.0,0.207,0
47.0,2287.92,0.604,0.505,0.555,14153.05,19.0,0.0,0.341,0
25.0,4212.96,0.45,0.448,0.746,38162.62,69.0,0.0,0.136,0
51.0,4305.88,0.307,0.284,0.436,23957.24,79.0,0.0,0.075,1
62.0,5937.6,0.77,0.824,0.424,36373.89,54.0,1.0,0.12,0
23.0,10725.64,0.376,0.496,0.193,22197.59,37.0,2.0,0.057,0
56.0,5821.31,0.701,0.343,0.488,14987.99,33.0,1.0,0.081,0
25.0,4087.51,0.311,0.498,0.37,26924.92,42.0,4.0,0.161,0
57.0,6335.52,0.136,0.401,0.254,11002.66,10.0,2.0,0.178,0
40.0,10422.12,0.511,0.226,0.342,35499.22,47.0,0.0,0.075,1
18.0,4189.66,0.408,0.226,0.27,13595.36,27.0,0.0,0.125,0
69.0,4314.77,0.3,0.303,0.285,45409.76,26.0,0.0,0.42,0
26.0,8357.42,0.256,0.434,0.507,20063.05,50.0,0.0,0.049,1
49.0,5883.26,0.656,0.514,0.399,49875.14,82.0,1.0,0.107,0
27.0,8698.67,0.308,0.783,0.321,12051.28,22.0,0.0,0.067,1
67.0,6460.21,0.533,0.66,0.696,16092.05,78.0,0.0,0.034,1
57.0,8913.36,0.64,0.532,0.542,32023.93,47.0,0.0,0.078,1
60.0,4079.67,0.533,0.489,0.205,53500.92,82.0,1.0,0.168,0
40.0,6464.75,1.096,0.615,0.273,73860.02,36.0,1.0,0.33,0
42.0,5912.04,0.388,0.378,0.268,25681.32,84.0,4.0,0.054,0
51.0,3760.87,0.223,0.535,0.988,82550.52,58.0,0.0,0.101,0
59.0,3216.32,0.6,0.793,0.436,20709.53,58.0,0.0,0.117,0
62.0,8849.75,0.547,0.684,0.511,51063.75,50.0,4.0,0.118,0
18.0,5550.42,0.186,0.585,0.099,13550.97,41.0,1.0,0.062,0
53.0,4103.24,0.51,0.472,0.383,32851.79,47.0,1.0,0.181,0
23.0,6224.68,0.5,0.629,0.837,5456.32,73.0,0.0,0.012,1
33.0,10798.54,0.553,0.823,0.321,12059.37,68.0,0.0,0.017,1
61.0,2329.07,0.545,0.869,0.507,33859.37,7.0,2.0,1.5,0
31.0,3314.53,0.197,0.772,0.335,10652.46,60.0,1.0,0.056,0
60.0,4290.93,0.272,0.367,0.507,32996.22,71.0,1.0,0.114,0
42.0,12545.13,0.67,0.661,0.63,45063.54,64.0,0.0,0.059,1
30.0,6460.21,0.142,0.515,0.384,18047.69,45.0,0.0,0.057,1
35.0,9180.62,1.047,0.951,0.443,13317.2,32.0,0.0,0.046,0
46.0,3891.25,0.346,0.626,0.724,18368.82,59.0,1.0,0.084,0
58.0,3927.53,0.229,0.366,0.824,13344.41,58.0,0.0,0.062,0
50.0,7951.16,0.721,0.83,0.803,23408.21,35.0,0.0,0.089,1
67.0,6672.71,0.686,0.668,0.401,26715.25,38.0,0.0,0.108,0
63.0,8320.6,0.422,0.077,0.623,20490.66,35.0,3.0,0.072,0
57.0,5973.6,0.412,0.697,0.341,74233.04,9.0,0.0,1.454,0
49.0,7366.68,0.442,0.676,0.826,15662.41,8.0,0.0,0.274,1
33.0,6979.35,0.472,0.877,0.357,61763.18,12.0,1.0,0.751,0
39.0,9223.9,0.943,0.31,0.645,12705.95,39.0,2.0,0.037,0
24.0,9346.07,0.777,0.572,0.507,26211.05,46.0,1.0,0.063,0
37.0,3135.72,0.694,0.424,0.354,53941.19,38.0,2.0,0.467,0
67.0,2364.42,0.736,0.256,0.196,52156.98,81.0,0.0,0.277,0
40.0,10202.04,0.406,0.381,0.693,19024.13,23.0,3.0,0.083,0
22.0,5000.0,0.12,0.46,0.42,15000.0,53.0,0.0,0.05,0
22.0,5000.0,0.12,0.8,0.88,15000.0,53.0,0.0,0.089,0
22.0,5700.0,0.312,0.81,0.62,32000.0,32.0,0.0,0.47,1
54.0,5000.0,0.45,0.81,0.34,44000.0,41.0,0.0,0.51,0
54.0,5000.0,0.25,0.81,0.45,30000.0,41.0,0.0,0.51,0
54.0,5000.0,0.25,0.81,0.45,30000.0,41.0,0.0,0.027,0
54.0,5000.0,0.25,0.81,0.61,30000.0,41.0,0.0,0.027,0
35.0,3700.0,0.4,0.81,0.61,30000.0,41.0,0.0,0.027,0
35.0,3700.0,0.4,0.81,0.61,30000.0,54.0,0.0,0.027,0
35.0,3700.0,0.4,0.448,0.61,30000.0,54.0,0.0,0.027,0
35.0,3700.0,0.4,0.448,0.61,12000.0,54.0,0.0,0.027,0
35.0,3700.0,0.0,0.448,0.61,12000.0,54.0,0.0,0.027,0
35.0,3700.0,0.0,0.448,0.83,12000.0,54.0,0.0,0.027,0
35.0,5600.0,0.0,0.448,0.83,12000.0,54.0,0.0,0.0123,0
35.0,5900.0,0.0,0.448,0.83,12000.0,54.0,0.0,0.0123,0
35.0,6300.0,0.0,0.448,0.83,12000.0,54.0,0.0,0.0123,0
35.0,9300.0,0.0,0.448,0.83,12000.0,54.0,0.0,0.0123,1
55.0,7000.0,32000.0,0.72,0.658,10000.0,30.0,1.0,0.03,1
20.0,4000.0,0.0,0.41,0.5,15000.0,6.0,0.0,0.21,0
